"insurance_provider","customer_service_number","coverage_type","days_open","open_time","close_time"
"Aetna","(null)","PPO","Monday-Sunday","00:00:00","23:59:00"
"BlueCross","658-189-7912","(null)","(null)","09:00:00","17:00:00"
"Cigna","127-674-4257","HDHP","Monday-Friday","(null)","(null)"
"United Health","384-928-1106","POS","(null)","(null)","(null)"
"Humana","881-444-2674","EPO","(null)","09:00:00","17:00:00"
"Kaiser Permanente","926-144-8527","POS","Monday-Friday","(null)","(null)"
"molina healthcare","743-733-6925","HMO","Monday-Friday","(null)","(null)"
"centene","396-181-4814","EPO","(null)","(null)","(null)"
"Oscar Health","266-479-6820","HMO","(null)","08:00:00","18:00:00"
"WellCare","846-350-3677","HDHP","Monday-Friday","07:00:00","19:00:00"
"Ambetter","886-894-1916","EPO","(null)","08:00:00","18:00:00"
"Bright Health","(null)","EPO","Monday-Friday","(null)","(null)"
